USER           PID  PPID     VSZ    RSS WCHAN            ADDR S NAME
root             1     0   58068   1312 0                   0 S init
root             2     0       0      0 0                   0 S [kthreadd]
root             5     2       0      0 0                   0 S [kworker/u16:0]
root             6     2       0      0 0                   0 S [ksoftirqd/0]
root             7     2       0      0 0                   0 S [rcu_preempt]
root             8     2       0      0 0                   0 S [rcu_sched]
root             9     2       0      0 0                   0 S [rcu_bh]
root            10     2       0      0 0                   0 S [rcuop/0]
root            11     2       0      0 0                   0 S [rcuos/0]
root            12     2       0      0 0                   0 S [rcuob/0]
root            13     2       0      0 0                   0 S [migration/0]
root            14     2       0      0 0                   0 S [lru-add-drain]
root            15     2       0      0 0                   0 S [watchdog/0]
root            16     2       0      0 0                   0 S [cpuhp/0]
root            17     2       0      0 0                   0 S [cpuhp/1]
root            18     2       0      0 0                   0 S [watchdog/1]
root            19     2       0      0 0                   0 S [migration/1]
root            20     2       0      0 0                   0 S [ksoftirqd/1]
root            23     2       0      0 0                   0 S [rcuop/1]
root            24     2       0      0 0                   0 S [rcuos/1]
root            25     2       0      0 0                   0 S [rcuob/1]
root            26     2       0      0 0                   0 S [cpuhp/2]
root            27     2       0      0 0                   0 S [watchdog/2]
root            28     2       0      0 0                   0 S [migration/2]
root            29     2       0      0 0                   0 S [ksoftirqd/2]
root            31     2       0      0 0                   0 S [kworker/2:0H]
root            32     2       0      0 0                   0 S [rcuop/2]
root            33     2       0      0 0                   0 S [rcuos/2]
root            34     2       0      0 0                   0 S [rcuob/2]
root            35     2       0      0 0                   0 S [cpuhp/3]
root            36     2       0      0 0                   0 S [watchdog/3]
root            37     2       0      0 0                   0 S [migration/3]
root            38     2       0      0 0                   0 S [ksoftirqd/3]
root            40     2       0      0 0                   0 S [kworker/3:0H]
root            41     2       0      0 0                   0 S [rcuop/3]
root            42     2       0      0 0                   0 S [rcuos/3]
root            43     2       0      0 0                   0 S [rcuob/3]
root            44     2       0      0 0                   0 S [cpuhp/4]
root            45     2       0      0 0                   0 S [watchdog/4]
root            46     2       0      0 0                   0 S [migration/4]
root            47     2       0      0 0                   0 S [ksoftirqd/4]
root            50     2       0      0 0                   0 S [rcuop/4]
root            51     2       0      0 0                   0 S [rcuos/4]
root            52     2       0      0 0                   0 S [rcuob/4]
root            53     2       0      0 0                   0 S [cpuhp/5]
root            54     2       0      0 0                   0 S [watchdog/5]
root            55     2       0      0 0                   0 S [migration/5]
root            56     2       0      0 0                   0 S [ksoftirqd/5]
root            58     2       0      0 0                   0 S [kworker/5:0H]
root            59     2       0      0 0                   0 S [rcuop/5]
root            60     2       0      0 0                   0 S [rcuos/5]
root            61     2       0      0 0                   0 S [rcuob/5]
root            62     2       0      0 0                   0 S [cpuhp/6]
root            63     2       0      0 0                   0 S [watchdog/6]
root            64     2       0      0 0                   0 S [migration/6]
root            65     2       0      0 0                   0 S [ksoftirqd/6]
root            68     2       0      0 0                   0 S [rcuop/6]
root            69     2       0      0 0                   0 S [rcuos/6]
root            70     2       0      0 0                   0 S [rcuob/6]
root            71     2       0      0 0                   0 S [cpuhp/7]
root            72     2       0      0 0                   0 S [watchdog/7]
root            73     2       0      0 0                   0 S [migration/7]
root            74     2       0      0 0                   0 S [ksoftirqd/7]
root            77     2       0      0 0                   0 S [rcuop/7]
root            78     2       0      0 0                   0 S [rcuos/7]
root            79     2       0      0 0                   0 S [rcuob/7]
root            80     2       0      0 0                   0 S [netns]
root            82     2       0      0 0                   0 S [ipa_usb_wq]
root            84     2       0      0 0                   0 S [msm_watchdog]
root            85     2       0      0 0                   0 S [qmp_aop]
root            86     2       0      0 0                   0 S [smem_native_mps]
root            87     2       0      0 0                   0 S [mpss_smem_glink]
root            88     2       0      0 0                   0 S [smem_native_lpa]
root            89     2       0      0 0                   0 S [lpass_smem_glin]
root            90     2       0      0 0                   0 S [smem_native_cds]
root            91     2       0      0 0                   0 S [cdsp_smem_glink]
root            92     2       0      0 0                   0 S [khungtaskd]
root            93     2       0      0 0                   0 S [oom_reaper]
root            94     2       0      0 0                   0 S [writeback]
root            95     2       0      0 0                   0 S [kcompactd0]
root            96     2       0      0 0                   0 S [crypto]
root            97     2       0      0 0                   0 S [bioset]
root            98     2       0      0 0                   0 S [kblockd]
root            99     2       0      0 0                   0 S [irq/374-arm-smm]
root           100     2       0      0 0                   0 S [irq/375-arm-smm]
root           101     2       0      0 0                   0 S [irq/384-arm-smm]
root           103     2       0      0 0                   0 S [irq/22-tsens-up]
root           104     2       0      0 0                   0 S [irq/23-tsens-cr]
root           105     2       0      0 0                   0 S [irq/24-tsens-up]
root           106     2       0      0 0                   0 S [irq/25-tsens-cr]
root           107     2       0      0 0                   0 S [edac-poller]
root           108     2       0      0 0                   0 S [system]
root           109     2       0      0 0                   0 S [ipa_power_mgmt]
root           110     2       0      0 0                   0 S [transport_power]
root           111     2       0      0 0                   0 S [ipa_rm_wq]
root           112     2       0      0 0                   0 S [devfreq_wq]
root           113     2       0      0 0                   0 S [governor_msm_ad]
root           114     2       0      0 0                   0 S [cfg80211]
root           142     2       0      0 0                   0 R [kswapd0]
root           143     2       0      0 0                   0 S [vmstat]
